,lat,lon,power,geometry
503713387,61.3398921,25.2209553,-36.0,POINT (25.2209553 61.3398921)
504707363,61.7428913,24.6767497,-11.0,POINT (24.6767497 61.7428913)
506109270,61.487099,21.8129216,7.03,POINT (21.8129216 61.487099)
515153845,61.8193746,22.3683551,-122.0,POINT (22.3683551 61.8193746)
524673995,62.1671715,25.6812873,-79.0,POINT (25.6812873 62.1671715)
536080120,63.4657145,25.0675336,-10.0,POINT (25.0675336 63.4657145)
536794286,66.7143292,27.3812863,-103.0,POINT (27.3812863 66.7143292)
538122764,65.542922,28.2734826,-50.0,POINT (28.2734826 65.542922)
546285003,66.385054,23.7030957,14.63,POINT (23.7030957 66.385054)
556787705,62.3994526,30.0402228,-22.0,POINT (30.0402228 62.3994526)
587663666,60.981735,25.5166734,-187.0,POINT (25.5166734 60.981735)
634989945,62.6820028,26.3897487,8.3,POINT (26.3897487 62.6820028)
667023388,63.1854722,26.3290905,-59.0,POINT (26.3290905 63.1854722)
667025222,63.2056734,26.7813045,-37.0,POINT (26.7813045 63.2056734)
722718468,60.2198976,24.9080191,569.67,POINT (24.9080191 60.2198976)
761315706,63.758674,25.2670098,10.49,POINT (25.2670098 63.758674)
824065452,65.6640625,25.0964832,12.58,POINT (25.0964832 65.6640625)
824065662,65.7547278,24.5664309,7.03,POINT (24.5664309 65.7547278)
920091358,63.9423915,24.9460436,-91.0,POINT (24.9460436 63.9423915)
959583291,62.2287003,25.7026208,-1182.0,POINT (25.7026208 62.2287003)
1002965821,62.6080668,29.7806899,-1623.0,POINT (29.7806899 62.6080668)
1004465264,60.2843902,24.8357613,250.02,POINT (24.8357613 60.2843902)
1019312230,61.5524604,23.572709,-254.0,POINT (23.572709 61.5524604)
1019770592,60.467272,22.2410226,-1516.0,POINT (22.2410226 60.467272)
1019770611,60.4947953,22.1570117,-214.0,POINT (22.1570117 60.4947953)
1019905622,61.4588558,23.885914,-54.0,POINT (23.885914 61.4588558)
1022898779,65.0371612,25.4385157,-11.0,POINT (25.4385157 65.0371612)
1023007513,60.409099,25.1143244,5.38,POINT (25.1143244 60.409099)
1030022481,60.3808674,25.0439519,-337.0,POINT (25.0439519 60.3808674)
1082948540,60.1504572,24.7164474,594.14,POINT (24.7164474 60.1504572)
1092860862,61.4996634,21.7919914,1974.64,POINT (21.7919914 61.4996634)
1095224372,61.4265672,21.8686597,-98.0,POINT (21.8686597 61.4265672)
1097022574,60.2324659,25.1110711,706.24,POINT (25.1110711 60.2324659)
1117897539,63.0086426,22.3482154,-42.0,POINT (22.3482154 63.0086426)
1134425211,65.7517056,24.5843703,-1514.0,POINT (24.5843703 65.7517056)
1134834266,60.7246859,24.7753296,-397.0,POINT (24.7753296 60.7246859)
1138372990,60.9956502,24.4928522,6.28,POINT (24.4928522 60.9956502)
1138373767,61.0153639,24.4615879,6.28,POINT (24.4615879 61.0153639)
1138498572,60.1724417,23.3771646,-228.0,POINT (23.3771646 60.1724417)
1139781004,61.119661,21.5043622,-2606.0,POINT (21.5043622 61.119661)
1140620744,61.2472977,21.4701626,4.51,POINT (21.4701626 61.2472977)
1140633388,61.235017,21.517448,4.51,POINT (21.517448 61.235017)
1140782290,61.2380914,21.4445947,297.47,POINT (21.4445947 61.2380914)
1140782315,61.237139,21.4411636,2.34,POINT (21.4411636 61.237139)
1140799142,61.2126918,21.6834919,-182.0,POINT (21.6834919 61.2126918)
1142488238,61.6887872,21.9892785,-21.0,POINT (21.9892785 61.6887872)
1142555032,61.8591846,21.5259449,-55.0,POINT (21.5259449 61.8591846)
1147149342,61.8768981,21.8597518,-13.0,POINT (21.8597518 61.8768981)
1147151741,60.7854274,23.5015748,-57.0,POINT (23.5015748 60.7854274)
1147151748,60.7989593,23.5869087,41.82,POINT (23.5869087 60.7989593)
1147918206,62.1336826,21.9914787,-31.0,POINT (21.9914787 62.1336826)
1148024410,62.4950514,21.6540193,-64.0,POINT (21.6540193 62.4950514)
1156037884,60.4224802,22.3638511,-274.0,POINT (22.3638511 60.4224802)
1156037929,60.4226603,22.3528004,-353.0,POINT (22.3528004 60.4226603)
1223645894,60.3635738,25.2671595,-233.0,POINT (25.2671595 60.3635738)
1224394513,62.9031064,27.6783469,33.12,POINT (27.6783469 62.9031064)
1224394666,62.9027253,27.6734193,33.12,POINT (27.6734193 62.9027253)
1248608985,60.4806101,24.7840811,-377.0,POINT (24.7840811 60.4806101)
1297499957,61.5046003,23.5852324,-153.0,POINT (23.5852324 61.5046003)
1297500161,61.5003926,23.5098448,-449.0,POINT (23.5098448 61.5003926)
1303559592,60.5753569,27.2315601,28.15,POINT (27.2315601 60.5753569)
1303559612,60.5640963,27.234182,-42.0,POINT (27.234182 60.5640963)
1307161716,61.1660124,28.7724048,228.33,POINT (28.7724048 61.1660124)
1307162226,61.1651624,28.7747719,-270.0,POINT (28.7747719 61.1651624)
1339479215,61.6784486,24.3733159,-93.0,POINT (24.3733159 61.6784486)
1355832181,63.477799,22.6088335,38.91,POINT (22.6088335 63.477799)
1355832213,63.4951067,22.6321424,-110.0,POINT (22.6321424 63.4951067)
1355965466,63.54554,22.9968208,-120.0,POINT (22.9968208 63.54554)
1392674730,63.1266174,21.6860849,-173.0,POINT (21.6860849 63.1266174)
1420510764,60.4960019,26.504031,97.13,POINT (26.504031 60.4960019)
