,source,target,capacity,geo
173,294854486,1496000740,462000000,"LINESTRING (21.5647571 63.0915294, 23.0380604 63.7341279)"
174,294854486,1495570439,462000000,"LINESTRING (21.5647571 63.0915294, 22.1608672 63.1776465)"
175,294854486,1355965466,462000000,"LINESTRING (21.5647571 63.0915294, 22.9968208 63.54554)"
176,294854486,1355832181,462000000,"LINESTRING (21.5647571 63.0915294, 22.6088335 63.477799)"
177,306518584,1538718412,231000000,"LINESTRING (24.1119277 62.5515208, 24.0024579 62.361212)"
178,313113179,1248608985,840000000,"LINESTRING (24.6377561 60.2182144, 24.7840811 60.4806101)"
179,313113179,1886541905,840000000,"LINESTRING (24.6377561 60.2182144, 25.3047059 60.4509767)"
180,313113179,347076381,840000000,"LINESTRING (24.6377561 60.2182144, 24.9806726 60.7777832)"
181,313113179,2466569559,840000000,"LINESTRING (24.6377561 60.2182144, 24.0909328 60.2496788)"
182,313113179,1887289655,840000000,"LINESTRING (24.6377561 60.2182144, 24.3390341 60.4104826)"
183,313113179,1774983916,840000000,"LINESTRING (24.6377561 60.2182144, 24.2462307 60.1391829)"
184,313113179,1082948540,840000000,"LINESTRING (24.6377561 60.2182144, 24.7164474 60.1504572)"
185,313113179,2043052860,840000000,"LINESTRING (24.6377561 60.2182144, 24.4349748 60.1395161)"
186,313113179,9215083692,840000000,"LINESTRING (24.6377561 60.2182144, 23.9675368 60.166663)"
187,341733915,1030022481,231000000,"LINESTRING (25.0062762 60.3056055, 25.0439519 60.3808674)"
188,341733915,1097022574,231000000,"LINESTRING (25.0062762 60.3056055, 25.1110711 60.2324659)"
189,341733915,1223645894,231000000,"LINESTRING (25.0062762 60.3056055, 25.2671595 60.3635738)"
190,341733915,1883245033,231000000,"LINESTRING (25.0062762 60.3056055, 25.5670523 60.3907908)"
191,341733915,1023007513,231000000,"LINESTRING (25.0062762 60.3056055, 25.1143244 60.409099)"
192,341733915,5523706858,231000000,"LINESTRING (25.0062762 60.3056055, 24.9829145 60.2208767)"
193,341733915,1004465264,231000000,"LINESTRING (25.0062762 60.3056055, 24.8357613 60.2843902)"
194,341733915,3543504448,231000000,"LINESTRING (25.0062762 60.3056055, 24.8351028 60.2842303)"
195,341733915,3536686368,231000000,"LINESTRING (25.0062762 60.3056055, 23.5958794 60.796506)"
196,341733915,7785011979,231000000,"LINESTRING (25.0062762 60.3056055, 24.2051288 60.5361632)"
197,347076381,2470463719,840000000,"LINESTRING (24.9806726 60.7777832, 22.7405099 61.1449353)"
198,347076381,1689185840,840000000,"LINESTRING (24.9806726 60.7777832, 23.4381786 61.4614949)"
199,347076381,1019905622,840000000,"LINESTRING (24.9806726 60.7777832, 23.885914 61.4588558)"
200,347076381,2312780155,840000000,"LINESTRING (24.9806726 60.7777832, 24.0821674 61.4487879)"
201,347076381,1734598397,840000000,"LINESTRING (24.9806726 60.7777832, 24.9788767 61.2596315)"
202,347076381,1248608985,840000000,"LINESTRING (24.9806726 60.7777832, 24.7840811 60.4806101)"
203,347076381,1886541905,840000000,"LINESTRING (24.9806726 60.7777832, 25.3047059 60.4509767)"
204,347076381,1082948540,840000000,"LINESTRING (24.9806726 60.7777832, 24.7164474 60.1504572)"
205,347076381,2043052860,840000000,"LINESTRING (24.9806726 60.7777832, 24.4349748 60.1395161)"
206,347076381,9215083692,840000000,"LINESTRING (24.9806726 60.7777832, 23.9675368 60.166663)"
207,347076381,1774983916,840000000,"LINESTRING (24.9806726 60.7777832, 24.2462307 60.1391829)"
208,347076381,2466569559,840000000,"LINESTRING (24.9806726 60.7777832, 24.0909328 60.2496788)"
209,347076381,1887289655,840000000,"LINESTRING (24.9806726 60.7777832, 24.3390341 60.4104826)"
210,353165962,3544068285,840000000,"LINESTRING (26.0000991 62.3618583, 26.3456175 60.371702)"
211,353165962,1886541905,840000000,"LINESTRING (26.0000991 62.3618583, 25.3047059 60.4509767)"
212,353165962,1885661000,840000000,"LINESTRING (26.0000991 62.3618583, 25.6392302 60.4375144)"
213,353165962,1420510764,840000000,"LINESTRING (26.0000991 62.3618583, 26.504031 60.4960019)"
214,353165962,8381797554,840000000,"LINESTRING (26.0000991 62.3618583, 26.2308371 60.4654414)"
215,353165962,1788509068,840000000,"LINESTRING (26.0000991 62.3618583, 26.8423461 60.6893255)"
216,353165962,1788509352,840000000,"LINESTRING (26.0000991 62.3618583, 26.8343314 60.6956776)"
217,353165962,1540709741,840000000,"LINESTRING (26.0000991 62.3618583, 26.5929626 60.8828872)"
218,353165962,1540710285,840000000,"LINESTRING (26.0000991 62.3618583, 26.3429688 60.9029674)"
219,353165962,1889840986,840000000,"LINESTRING (26.0000991 62.3618583, 25.70523 60.8079744)"
220,353165962,7724081389,840000000,"LINESTRING (26.0000991 62.3618583, 25.6586391 60.9519943)"
221,353165962,494789719,840000000,"LINESTRING (26.0000991 62.3618583, 25.8205715 60.7877087)"
222,353165962,1540710294,840000000,"LINESTRING (26.0000991 62.3618583, 26.3389125 60.903297)"
